date,racetrack,event_name,grade,event_type
2022/9/2,伊勢崎,令和４年度伊勢崎市営　普通開催　８／３１～,普通,ナイター
2022/9/2,浜松,令和４年度浜松市営　普通開催　９／２～,普通,デイ
2022/9/3,伊勢崎,令和４年度伊勢崎市営　普通開催　８／３１～,普通,ナイター
2022/9/3,浜松,令和４年度浜松市営　普通開催　９／２～,普通,デイ
2022/9/4,浜松,令和４年度浜松市営　普通開催　９／２～,普通,デイ
2022/9/4,飯塚,令和４年度飯塚市営　普通開催　９／４～,普通,ナイター
2022/9/5,飯塚,令和４年度飯塚市営　普通開催　９／４～,普通,ナイター
2022/9/6,飯塚,令和４年度飯塚市営　普通開催　９／４～,普通,ナイター
2022/9/7,伊勢崎,ＧⅠムーンライトチャンピオンカップ,GI,ナイター
2022/9/7,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　９／７～,普通,ミッドナイト
2022/9/8,伊勢崎,ＧⅠムーンライトチャンピオンカップ,GI,ナイター
2022/9/8,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　９／７～,普通,ミッドナイト
2022/9/9,伊勢崎,ＧⅠムーンライトチャンピオンカップ,GI,ナイター
2022/9/9,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　９／７～,普通,ミッドナイト
2022/9/9,浜松,令和４年度浜松市営　浜松アーリーレース　９／９～,普通,モーニング
2022/9/10,伊勢崎,ＧⅠムーンライトチャンピオンカップ,GI,ナイター
2022/9/10,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　９／７～,普通,ミッドナイト
2022/9/10,浜松,令和４年度浜松市営　浜松アーリーレース　９／９～,普通,モーニング
2022/9/11,伊勢崎,ＧⅠムーンライトチャンピオンカップ,GI,ナイター
2022/9/11,浜松,令和４年度浜松市営　浜松アーリーレース　９／９～,普通,モーニング
2022/9/12,飯塚,令和４年度飯塚市営　普通開催　９／１２～,普通,ナイター
2022/9/13,飯塚,令和４年度飯塚市営　普通開催　９／１２～,普通,ナイター
2022/9/14,飯塚,令和４年度飯塚市営　普通開催　９／１２～,普通,ナイター
2022/9/15,飯塚,令和４年度飯塚市営　普通開催　９／１２～,普通,ナイター
2022/9/16,伊勢崎,令和４年度伊勢崎市営　普通開催　９／１６～,普通,ナイター
2022/9/17,伊勢崎,令和４年度伊勢崎市営　普通開催　９／１６～,普通,ナイター
2022/9/17,山陽,令和４年度山陽小野田市営　普通開催　９／１７～,普通,デイ
2022/9/18,伊勢崎,令和４年度伊勢崎市営　普通開催　９／１６～,普通,ナイター
2022/9/18,山陽,令和４年度山陽小野田市営　普通開催　９／１７～,普通,デイ
2022/9/19,伊勢崎,令和４年度伊勢崎市営　普通開催　９／１６～,普通,ナイター
2022/9/19,山陽,令和４年度山陽小野田市営　普通開催　９／１７～,普通,デイ
2022/9/20,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　９／２０～,普通,ミッドナイト
2022/9/21,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　９／２０～,普通,ミッドナイト
2022/9/21,浜松,特別ＧⅠ共同通信社杯プレミアムカップ,GI,デイ
2022/9/22,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　９／２０～,普通,ミッドナイト
2022/9/22,浜松,特別ＧⅠ共同通信社杯プレミアムカップ,GI,デイ
2022/9/23,浜松,特別ＧⅠ共同通信社杯プレミアムカップ,GI,デイ
2022/9/23,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　９／２３～,普通,ミッドナイト
2022/9/24,浜松,特別ＧⅠ共同通信社杯プレミアムカップ,GI,デイ
2022/9/24,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　９／２３～,普通,ミッドナイト
2022/9/25,浜松,特別ＧⅠ共同通信社杯プレミアムカップ,GI,デイ
2022/9/25,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　９／２３～,普通,ミッドナイト
2022/9/26,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　９／２３～,普通,ミッドナイト
2022/9/27,伊勢崎,令和４年度伊勢崎市営　普通開催　９／２７～,普通,ナイター
2022/9/27,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　９／２７～,普通,ミッドナイト
2022/9/28,伊勢崎,令和４年度伊勢崎市営　普通開催　９／２７～,普通,ナイター
2022/9/28,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　９／２７～,普通,ミッドナイト
2022/9/29,伊勢崎,令和４年度伊勢崎市営　普通開催　９／２７～,普通,ナイター
2022/9/29,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　９／２７～,普通,ミッドナイト
2022/9/30,伊勢崎,令和４年度伊勢崎市営　普通開催　９／２７～,普通,ナイター
2022/9/30,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　９／２７～,普通,ミッドナイト
2022/9/30,浜松,令和４年度浜松市営　普通開催　９／３０～,普通,デイ
2022/10/1,浜松,令和４年度浜松市営　普通開催　９／３０～,普通,デイ
2022/10/1,飯塚,令和４年度飯塚市営　普通開催　１０／１～,普通,ナイター
2022/10/2,浜松,令和４年度浜松市営　普通開催　９／３０～,普通,デイ
2022/10/2,飯塚,令和４年度飯塚市営　普通開催　１０／１～,普通,ナイター
2022/10/3,飯塚,令和４年度飯塚市営　普通開催　１０／１～,普通,ナイター
2022/10/4,飯塚,令和４年度飯塚市営　普通開催　１０／１～,普通,ナイター
2022/10/5,飯塚,令和４年度飯塚市営　普通開催　１０／１～,普通,ナイター
2022/10/6,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１０／６～,普通,ナイター
2022/10/6,山陽,ＧⅡ若獅子杯争奪戦,GII,デイ
2022/10/7,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１０／６～,普通,ナイター
2022/10/7,山陽,ＧⅡ若獅子杯争奪戦,GII,デイ
2022/10/8,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１０／６～,普通,ナイター
2022/10/8,山陽,ＧⅡ若獅子杯争奪戦,GII,デイ
2022/10/9,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１０／６～,普通,ナイター
2022/10/9,山陽,ＧⅡ若獅子杯争奪戦,GII,デイ
2022/10/10,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１０／６～,普通,ナイター
2022/10/10,山陽,ＧⅡ若獅子杯争奪戦,GII,デイ
2022/10/11,浜松,令和４年度浜松市営　普通開催　１０／１１～,普通,デイ
2022/10/11,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１０／１１～,普通,ミッドナイト
2022/10/12,浜松,令和４年度浜松市営　普通開催　１０／１１～,普通,デイ
2022/10/12,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１０／１１～,普通,ミッドナイト
2022/10/13,浜松,令和４年度浜松市営　普通開催　１０／１１～,普通,デイ
2022/10/13,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１０／１１～,普通,ミッドナイト
2022/10/14,伊勢崎,令和４年度伊勢崎市営　普通開催　１０／１４～,普通,ナイター
2022/10/15,伊勢崎,令和４年度伊勢崎市営　普通開催　１０／１４～,普通,ナイター
2022/10/15,山陽,令和４年度山陽小野田市営　普通開催　１０／１５～,普通,デイ
2022/10/16,伊勢崎,令和４年度伊勢崎市営　普通開催　１０／１４～,普通,ナイター
2022/10/16,山陽,令和４年度山陽小野田市営　普通開催　１０／１５～,普通,デイ
2022/10/17,伊勢崎,令和４年度伊勢崎市営　普通開催　１０／１４～,普通,ナイター
2022/10/17,山陽,令和４年度山陽小野田市営　普通開催　１０／１５～,普通,デイ
2022/10/18,伊勢崎,令和４年度伊勢崎市営　普通開催　１０／１４～,普通,ナイター
2022/10/18,山陽,令和４年度山陽小野田市営　普通開催　１０／１５～,普通,デイ
2022/10/19,浜松,ＧⅠスピード王決定戦,GI,デイ
2022/10/19,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１０／１９～,普通,ミッドナイト
2022/10/20,浜松,ＧⅠスピード王決定戦,GI,デイ
2022/10/20,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１０／１９～,普通,ミッドナイト
2022/10/21,浜松,ＧⅠスピード王決定戦,GI,デイ
2022/10/21,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１０／１９～,普通,ミッドナイト
2022/10/22,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１０／２２～,普通,ナイター
2022/10/22,浜松,ＧⅠスピード王決定戦,GI,デイ
2022/10/23,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１０／２２～,普通,ナイター
2022/10/23,浜松,ＧⅠスピード王決定戦,GI,デイ
2022/10/24,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１０／２２～,普通,ナイター
2022/10/24,飯塚,令和４年度飯塚市営　普通開催　１０／２４～,普通,デイ
2022/10/25,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１０／２２～,普通,ナイター
2022/10/25,飯塚,令和４年度飯塚市営　普通開催　１０／２４～,普通,デイ
2022/10/26,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１０／２２～,普通,ナイター
2022/10/26,飯塚,令和４年度飯塚市営　普通開催　１０／２４～,普通,デイ
2022/10/27,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１０／２７～,普通,ミッドナイト
2022/10/27,浜松,令和４年度浜松市営　普通開催　１０／２７～,普通,デイ
2022/10/28,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１０／２７～,普通,ミッドナイト
2022/10/28,浜松,令和４年度浜松市営　普通開催　１０／２７～,普通,デイ
2022/10/29,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１０／２７～,普通,ミッドナイト
2022/10/29,浜松,令和４年度浜松市営　普通開催　１０／２７～,普通,デイ
2022/10/30,飯塚,ＳＧ日本選手権オートレース,普通,ナイター
2022/10/31,飯塚,ＳＧ日本選手権オートレース,普通,ナイター
2022/11/1,飯塚,ＳＧ日本選手権オートレース,普通,ナイター
2022/11/2,飯塚,ＳＧ日本選手権オートレース,普通,ナイター
2022/11/3,飯塚,ＳＧ日本選手権オートレース,普通,ナイター
2022/11/4,伊勢崎,令和４年度伊勢崎市営　普通開催　１１／４～,普通,ナイター
2022/11/4,山陽,令和４年度山陽小野田市営　普通開催　１１／４～,普通,デイ
2022/11/5,伊勢崎,令和４年度伊勢崎市営　普通開催　１１／４～,普通,ナイター
2022/11/5,山陽,令和４年度山陽小野田市営　普通開催　１１／４～,普通,デイ
2022/11/6,伊勢崎,令和４年度伊勢崎市営　普通開催　１１／４～,普通,ナイター
2022/11/6,山陽,令和４年度山陽小野田市営　普通開催　１１／４～,普通,デイ
2022/11/7,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１１／７～,普通,ミッドナイト
2022/11/7,浜松,令和４年度浜松市営　普通開催　１１／７～,普通,デイ
2022/11/8,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１１／７～,普通,ミッドナイト
2022/11/8,浜松,令和４年度浜松市営　普通開催　１１／７～,普通,デイ
2022/11/9,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１１／７～,普通,ミッドナイト
2022/11/9,浜松,令和４年度浜松市営　普通開催　１１／７～,普通,デイ
2022/11/10,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１１／７～,普通,ミッドナイト
2022/11/10,浜松,令和４年度浜松市営　普通開催　１１／７～,普通,デイ
2022/11/11,伊勢崎,令和４年度伊勢崎市営　普通開催　１１／１１～,普通,ナイター
2022/11/12,伊勢崎,令和４年度伊勢崎市営　普通開催　１１／１１～,普通,ナイター
2022/11/12,飯塚,令和４年度飯塚市営　普通開催　１１／１２～,普通,デイ
2022/11/13,伊勢崎,令和４年度伊勢崎市営　普通開催　１１／１１～,普通,ナイター
2022/11/13,飯塚,令和４年度飯塚市営　普通開催　１１／１２～,普通,デイ
2022/11/14,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１１／１４～,普通,ナイター
2022/11/14,飯塚,令和４年度飯塚市営　普通開催　１１／１２～,普通,デイ
2022/11/15,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１１／１４～,普通,ナイター
2022/11/15,山陽,令和４年度山陽小野田市営　普通開催　１１／１５～,普通,デイ
2022/11/16,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１１／１４～,普通,ナイター
2022/11/16,山陽,令和４年度山陽小野田市営　普通開催　１１／１５～,普通,デイ
2022/11/17,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１１／１４～,普通,ナイター
2022/11/17,山陽,令和４年度山陽小野田市営　普通開催　１１／１５～,普通,デイ
2022/11/18,山陽,令和４年度山陽小野田市営　普通開催　１１／１５～,普通,デイ
2022/11/19,飯塚,ＧⅠ開設記念レース,GI,デイ
2022/11/20,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１１／２０～,普通,ナイター
2022/11/20,飯塚,ＧⅠ開設記念レース,GI,デイ
2022/11/21,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１１／２０～,普通,ナイター
2022/11/21,飯塚,ＧⅠ開設記念レース,GI,デイ
2022/11/22,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１１／２０～,普通,ナイター
2022/11/22,飯塚,ＧⅠ開設記念レース,GI,デイ
2022/11/23,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１１／２０～,普通,ナイター
2022/11/23,飯塚,ＧⅠ開設記念レース,GI,デイ
2022/11/24,伊勢崎,令和４年度伊勢崎市営　伊勢崎アフター５　１１／２０～,普通,ナイター
2022/11/25,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１１／２５～,普通,ミッドナイト
2022/11/26,浜松,ＧⅡオートレースメモリアル,GII,デイ
2022/11/26,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１１／２５～,普通,ミッドナイト
2022/11/27,浜松,ＧⅡオートレースメモリアル,GII,デイ
2022/11/27,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１１／２５～,普通,ミッドナイト
2022/11/28,浜松,ＧⅡオートレースメモリアル,GII,デイ
2022/11/28,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１１／２５～,普通,ミッドナイト
2022/11/29,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１１／２９～,普通,ミッドナイト
2022/11/29,浜松,ＧⅡオートレースメモリアル,GII,デイ
2022/11/30,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１１／２９～,普通,ミッドナイト
2022/11/30,浜松,ＧⅡオートレースメモリアル,GII,デイ
2022/12/1,山陽,令和４年度山陽小野田市営　山陽ミッドナイト　１１／２９～,普通,ミッドナイト
2022/12/1,川口,令和４年度川口市営　普通開催　１２／１～,普通,デイ
2022/12/2,川口,令和４年度川口市営　普通開催　１２／１～,普通,デイ
2022/12/2,飯塚,令和４年度飯塚市営　普通開催　１２／２～,普通,ナイター
2022/12/3,川口,令和４年度川口市営　普通開催　１２／１～,普通,デイ
2022/12/3,飯塚,令和４年度飯塚市営　普通開催　１２／２～,普通,ナイター
2022/12/4,川口,令和４年度川口市営　普通開催　１２／１～,普通,デイ
2022/12/4,飯塚,令和４年度飯塚市営　普通開催　１２／２～,普通,ナイター
2022/12/5,伊勢崎,令和４年度伊勢崎市営　普通開催　１２／５～,普通,デイ
2022/12/5,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１２／５～,普通,ミッドナイト
2022/12/6,伊勢崎,令和４年度伊勢崎市営　普通開催　１２／５～,普通,デイ
2022/12/6,飯塚,令和４年度飯塚市営　飯塚ミッドナイト　１２／５～,普通,ミッドナイト
2022/12/7,伊勢崎,令和４年度伊勢崎市営　普通開催　１２／５～,普通,デイ
