選手名,S力,独走力,追い込み力,雨巧拙,コース
森村　　亮,3,4,3,3,アウト
山田　　徹,2,3,3,1,アウト
矢内　昌木,4,3,2,1,イン
山田　真弘,4,4,4,4,アウト
山中　充智,3,3,2,1,アウト
吉田　幸司,5,3,2,1,アウト
湯浅　　浩,3,3,2,3,イン
吉田　祐也,4,4,3,2,イン
横田　翔紀,4,4,3,4,アウト
若井　友和,3,4,5,5,イン
吉田　恵輔,4,3,3,5,イン
渡辺　　稔,3,2,2,2,イン
吉原　恭佑,5,4,3,4,イン
米里　信秀,3,2,2,2,アウト
渡辺　京二,2,2,2,1,イン
青嶋　裕治,2,2,2,2,アウト
青山　文敏,3,3,2,3,イン
青島　正樹,4,3,4,4,イン
秋吉　忠幸,3,2,2,3,イン
赤堀　　翼,3,3,2,2,アウト
阿部　仁志,4,4,3,4,イン
浅田　真吾,3,4,3,4,イン
荒尾　　聡,5,4,4,5,イン
浅野　浩幸,3,3,2,2,アウト
有吉　辰也,5,4,5,5,自在
石貝　武之,4,3,3,3,アウト
石橋　啓士,2,3,2,3,アウト
伊藤　信夫,4,5,5,3,自在
石本　圭耶,5,3,3,4,アウト
今田　真輔,2,3,2,2,イン
稲原　瑞穂,3,3,2,3,アウト
岩科　鮮太,3,4,4,4,イン
井上　智詞,2,3,2,3,アウト
岩本　君男,3,2,1,3,アウト
井村　淳一,3,3,4,4,イン
遠藤　　誠,4,3,3,4,イン
岩見　貴史,5,4,4,4,自在
岡谷美由紀,3,3,2,2,アウト
岩元　　毅,2,2,1,2,イン
落合　　巧,3,4,4,2,アウト
内山　雄介,3,3,3,3,イン
笠木　美孝,4,4,3,4,イン
浦田　信輔,4,3,3,3,イン
片岡　信之,2,1,1,1,イン
占部　健太,3,3,2,4,イン
金子　大輔,4,5,5,5,自在
大久保哲司,2,2,1,2,アウト
金田　悠伽,3,3,2,2,イン
越智　尚寿,4,3,3,3,アウト
上村　敏明,3,1,1,3,イン
片岡　賢児,4,2,2,2,アウト
北市　　唯,2,3,2,2,アウト
鐘ケ江将平,4,4,3,4,アウト
木村　武之,5,4,4,3,自在
川口　裕司,3,4,3,3,イン
木村　直幸,3,2,2,2,イン
川端　　孝,3,2,2,2,イン
栗原　佳祐,4,5,4,4,アウト
北原　岳哲,3,4,3,4,イン
小林　悠樹,3,3,3,1,アウト
城戸　　徹,2,2,1,1,アウト
小林　頼介,2,2,2,2,アウト
木山　優輝,3,4,4,3,イン
斎藤　正悟,3,3,2,4,イン
小里　健太,2,2,2,3,アウト
斎藤　　努,3,2,2,3,アウト
桜木　公和,3,3,4,4,イン
坂本　茉奈,1,1,1,1,アウト
佐藤　裕児,3,3,2,3,アウト
佐藤　貴也,5,4,5,5,イン
篠原　　睦,5,4,4,5,イン
佐藤　大地,4,4,3,3,アウト
新村　嘉之,3,3,2,4,アウト
柴田　健治,4,3,3,3,イン
高林　　亮,3,4,2,3,アウト
柴田　紘志,2,3,3,4,アウト
高宗　良次,4,4,4,4,アウト
下平　佳輝,4,2,2,4,イン
滝下　隼平,3,5,5,3,自在
城山　英文,2,1,1,2,イン
竹尾　竜星,2,3,2,3,アウト
鈴木　章夫,3,3,2,3,イン
竹谷　　隆,4,4,3,5,アウト
鈴木　一馬,3,4,3,3,アウト
竹中　修二,3,2,2,3,イン
鈴木圭一郎,5,5,5,5,自在
田島　敏徳,2,3,3,3,アウト
鈴木　啓示,2,2,1,2,アウト
田中　海斗,1,1,1,1,アウト
鈴木　景斗,2,2,1,2,アウト
田中　　茂,3,4,4,4,イン
鈴木　健吾,3,3,3,2,アウト
田中　　進,3,5,3,4,アウト
鈴木　静二,4,3,3,3,イン
田中　輝義,3,3,3,4,アウト
鈴木　辰己,4,2,2,2,イン
田中　正樹,4,4,3,3,アウト
鈴木　宏和,5,5,4,3,イン
辻　　大樹,4,4,3,4,アウト
関口　隆広,2,3,3,2,イン
壷井　亜羅汰,1,2,1,3,アウト
瀬戸尾郁宏,1,1,1,1,アウト
道智　亮介,3,4,2,4,アウト
辰巳　裕樹,4,3,3,2,アウト
中尾　貴志,4,4,3,4,アウト
田中　竜二,3,1,1,3,アウト
中原　　誠,3,3,2,2,アウト
筒井　健太,3,4,2,2,アウト
中村　杏亮,4,5,4,4,自在
角貝　拓海,3,3,2,2,アウト
中村　颯斗,3,4,2,3,アウト
戸塚　　茂,3,2,1,2,アウト
長田　稚也,4,5,5,4,自在
仲口　武志,3,3,3,4,イン
西村　昭紀,2,2,2,3,アウト
中野　　肇,1,1,1,3,アウト
丹村　　司,3,3,3,3,アウト
中村　友和,3,4,4,2,アウト
根本　将人,3,3,3,3,イン
中村　晋典,3,3,2,2,アウト
花元　初美,2,2,2,2,イン
西　　翔子,3,4,3,3,アウト
浜野　　翼,2,3,3,3,アウト
西川　頼臣,2,3,2,2,アウト
東小野正道,4,3,3,3,イン
野上　史豪,2,2,1,4,アウト
久門　　徹,5,3,3,3,アウト
野田　光宏,3,3,3,3,イン
福岡　　鷹,3,5,3,4,アウト
橋本　優一,3,2,2,2,イン
藤井　真弘,2,2,1,2,アウト
長谷　晴久,2,3,3,3,アウト
藤川　幸宏,4,3,2,2,アウト
花田　一輝,3,4,3,2,アウト
藤川　　竜,4,3,3,3,アウト
早津　圭介,2,3,2,2,アウト
別府　敬剛,3,4,3,4,イン
馬場　雄二,1,1,1,1,イン
帆景　　岬,2,2,1,2,アウト
兵頭　寛和,1,1,1,1,アウト
牧瀬　嘉葵,3,4,4,4,アウト
平塚　雅樹,4,3,2,4,イン
桝崎　陽介,3,4,3,4,イン
広瀬　豪彦,2,2,1,3,アウト
町田　龍駿,3,3,3,3,アウト
深谷　俊太,3,4,3,2,アウト
松尾　隆広,3,4,3,4,アウト
藤波　直也,3,3,3,3,イン
松尾　　学,3,1,1,1,イン
牧野　竜人,2,3,2,2,アウト
水口　寿治,3,2,1,3,イン
交川　陽子,3,2,1,2,アウト
水崎　正二,3,2,2,3,イン
桝崎　星名,4,2,1,1,アウト
水本　竜二,2,3,3,3,イン
松山　茂靖,4,4,3,3,アウト
宮地　　朗,3,2,1,1,イン
宮司　佳奈,1,1,1,1,アウト
村瀬月乃丞,4,4,3,3,アウト
森下　　輝,2,3,2,2,アウト
室田　泰利,3,2,1,3,アウト
山浦　博幸,3,4,3,2,アウト
本門　延唯,3,2,1,2,イン
山脇　孝志,2,3,2,1,アウト
森本　優佑,3,4,4,4,イン
吉田　富重,1,1,1,2,イン
吉川　麻季,1,2,1,1,アウト
吉林　直都,3,4,4,3,アウト
吉松　優輝,4,4,3,2,アウト
米里　崇徳,4,4,3,3,アウト
佳元　光義,3,3,2,2,アウト
脇川　大樹,1,1,1,1,アウト
渡辺　　篤,4,4,3,3,アウト
和田　健吾,3,3,3,2,アウト
青木　隆浩,3,3,2,3,アウト
穴見　和正,4,3,3,4,イン
安東　久隆,3,2,1,2,イン
池浦　一博,3,3,2,3,イン
池田　康範,4,2,2,3,イン
石田　啓貴,3,4,3,2,アウト
石橋　　大,3,1,1,2,イン
磯部　真樹,2,3,2,1,アウト
稲原良太郎,3,3,2,1,イン
岩崎　亮一,4,4,4,4,自在
岩永　清文,1,2,3,3,イン
植村愛悠斗,1,3,2,2,アウト
畦坪　孝雄,2,2,1,1,アウト
岡部　　聡,3,3,4,4,イン
岡松　　忠,4,3,3,2,イン
岡本　信一,3,2,1,3,イン
緒方　浩一,3,4,2,4,アウト
小川　可蓮,1,1,1,1,アウト
小栗　勝太,4,3,2,2,アウト
古城龍之介,4,4,3,3,アウト
小松　俊輔,1,1,1,1,アウト
五所　　淳,4,3,3,4,イン
斎藤　隆充,3,2,2,3,イン
佐伯　拓実,2,2,1,1,アウト
佐々木　啓,4,4,4,4,自在
重富　英雄,3,3,2,1,アウト
杉本　雅彦,2,2,2,1,イン
祐定　　響,3,3,3,3,アウト
角南　一如,3,5,5,4,アウト
角　翔太郎,4,4,3,2,アウト
高木健太郎,2,3,3,3,アウト
田方　秀和,3,2,2,4,イン
滝谷　　圭,1,3,1,2,アウト
竹中　一成,2,3,2,2,アウト
田斎　英世,3,2,1,2,アウト
田中　崇太,2,4,2,3,アウト
丹下　昂紀,1,3,1,2,アウト
中野　政則,2,3,3,4,アウト
永島潤太郎,4,4,4,4,アウト
長田　恭徳,3,4,4,3,イン
西久保英幸,3,1,1,3,イン
西崎洋一郎,3,2,1,3,イン
西村　義正,3,3,3,3,イン
西村龍太郎,4,3,3,4,自在
丹村　飛竜,5,4,4,4,イン
浜田　忠司,1,1,1,2,自在
浜野　　淳,4,4,4,4,イン
林　　弘明,3,3,3,4,アウト
原　菊太郎,1,1,1,1,イン
春本　綾斗,3,3,3,2,アウト
番田　隆弘,3,3,2,4,自在
人見　剛志,3,4,4,2,イン
日名子幹正,1,2,1,1,アウト
日室　志郎,3,3,2,2,イン
福田　義久,3,2,1,2,イン
福永　貴史,2,4,4,4,アウト
藤岡　一樹,4,4,4,4,アウト
藤本　　剛,2,2,2,2,アウト
藤本　悠仁,1,3,1,2,アウト
古谷　　匠,2,2,1,2,イン
別府　末彦,3,1,1,3,イン
前田　　淳,4,4,3,2,アウト
松井　大和,3,3,2,3,アウト
松尾　　彩,4,5,4,2,自在
松尾　啓史,4,5,5,4,アウト
松生　信二,4,3,2,3,自在
丸山　智史,4,4,4,3,アウト
満村　陽司,3,3,2,3,アウト
三宅　真央,3,3,2,2,イン
村田　光希,2,3,2,2,アウト
矢野　正剛,3,3,2,2,アウト
山崎　　進,3,4,3,3,アウト
山下　知秀,3,2,2,2,アウト
山本　　翔,4,4,4,4,イン
山本　智大,3,2,1,4,アウト
山本　将之,4,4,3,4,アウト
吉松　憲治,2,3,3,2,アウト
